                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.2148,                 0.4992,                0.59772,                 48.847,                  3.746,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.5026,                0.26924,                0.30579,                 11.124,                 2.2844,             0.00065753,             0.00065753,             0.00065753
                      2,                 4.3978,                0.30849,                 0.4976,                 12.383,                 2.3383,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 6.0804,                0.73022,                0.45276,                    inf,                  3.146,              0.0013111,              0.0013111,              0.0013111
                      3,                 4.0364,                0.25576,                0.40977,                 7.4657,                 2.1788,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.7614,                0.53651,                 0.2256,                 5.4677,                 2.0034,              0.0019514,              0.0019514,              0.0019514
                      4,                 4.1008,                0.23571,                0.26326,                 5.7015,                 2.0675,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.568,                0.41551,                0.06379,                 4.4493,                 1.8484,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.9833,                0.23309,                0.16805,                 5.0651,                 1.8555,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.5629,                0.25717,                0.04711,                 4.2614,                 1.8456,              0.0019406,              0.0019406,              0.0019406
                      6,                 3.9747,                0.23375,                0.11075,                 5.0014,                 1.8438,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6873,                0.25755,                0.05612,                 4.4992,                  1.869,              0.0019208,              0.0019208,              0.0019208
                      7,                 3.9176,                0.22137,                0.09874,                 4.9757,                  1.829,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.5545,                0.22229,                0.02887,                 4.4511,                 1.7061,               0.001901,               0.001901,               0.001901
                      8,                 3.8765,                0.21966,                0.07701,                 5.0038,                 1.7672,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.0088,                0.21947,                0.00637,                 4.5149,                  2.155,              0.0018812,              0.0018812,              0.0018812
                      9,                 3.8584,                0.22012,                 0.0666,                 5.0287,                 1.7487,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.6008,                0.20723,                0.01246,                 4.5491,                  1.672,              0.0018614,              0.0018614,              0.0018614
                     10,                 3.7532,                0.21661,                0.06268,                 5.0358,                 1.7314,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4892,                0.21766,                0.00875,                 4.5455,                  1.714,              0.0018416,              0.0018416,              0.0018416
                     11,                 3.7278,                0.21624,                 0.0759,                 5.0262,                 1.6815,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.4476,                0.21164,                0.00404,                 4.4462,                 1.7089,              0.0018218,              0.0018218,              0.0018218
                     12,                 3.7279,                0.21492,                0.06494,                 5.0128,                 1.6573,                0.33333,                0.00301,                  0.168,                0.04196,                0.33333,                0.00301,                  0.168,                  0.168,                 3.4575,                0.20212,                0.00634,                  4.478,                 1.6464,               0.001802,               0.001802,               0.001802
                     13,                 3.7146,                0.20012,                0.06467,                 4.7969,                 1.6697,                0.03706,                 0.0797,                0.05992,                0.01715,                0.05524,                 0.1188,                0.07875,                0.07872,                 3.4581,                0.19081,                0.00981,                 4.3666,                 1.5982,              0.0017822,              0.0017822,              0.0017822
                     14,                 3.4239,                0.15617,                0.06946,                 3.9394,                 1.6102,                0.30533,                0.11128,                0.11789,                0.03577,                0.33833,                0.12331,                0.14656,                0.14482,                 2.9791,                 0.1287,                0.00626,                 3.1999,                 1.5688,              0.0017624,              0.0017624,              0.0017624
                     15,                 3.1202,                0.12114,                0.06139,                 3.1387,                 1.5343,                0.33823,                0.23759,                 0.1848,                0.05912,                0.41038,                0.26165,                0.23591,                0.23473,                 2.7952,                0.11041,                0.00535,                 2.7543,                 1.4816,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.9161,                0.10741,                0.05275,                 2.7373,                 1.5113,                0.31732,                0.30376,                0.23492,                0.08183,                 0.3657,                0.33083,                0.28906,                0.28785,                 2.6858,                0.10051,                0.00421,                 2.4112,                 1.4598,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.8335,                0.10094,                0.06026,                 2.6049,                 1.4762,                0.35272,                0.31429,                0.26663,                0.09474,                0.41884,                0.33083,                0.32804,                0.32713,                 2.5339,                 0.0907,                0.00658,                 2.4265,                  1.423,               0.001703,               0.001703,               0.001703
                     18,                 2.7305,                0.09627,                0.05347,                 2.4563,                 1.4308,                 0.3554,                0.34586,                0.24207,                 0.0783,                0.45557,                0.37744,                0.38133,                0.38037,                 2.5267,                0.08239,                0.00314,                 2.4221,                 1.4108,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.6418,                0.09329,                 0.0501,                 2.3659,                 1.3941,                0.36576,                 0.4015,                0.31438,                0.10114,                0.47611,                0.41654,                0.42109,                0.42013,                 2.4744,                0.07682,                0.00317,                 2.1143,                 1.4028,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.6139,                0.09047,                0.05188,                 2.2873,                 1.3879,                0.43242,                 0.3985,                0.34936,                0.12286,                 0.5187,                0.43158,                0.45359,                0.45216,                 2.4129,                0.07476,                0.00455,                 2.0708,                  1.375,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.5321,                0.08273,                0.05689,                 2.1867,                  1.343,                0.33597,                0.40781,                0.25752,                0.08621,                0.49544,                0.42857,                0.42732,                0.42556,                  2.426,                0.07197,                0.00476,                 2.1131,                 1.3579,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.5275,                0.07702,                0.04087,                 2.1081,                 1.3525,                0.36363,                0.38647,                0.26699,                 0.0844,                0.48508,                0.44361,                0.44274,                0.44136,                 2.4781,                0.07106,                0.00585,                 2.1296,                 1.3722,               0.001604,               0.001604,               0.001604
                     23,                 2.5034,                0.07146,                0.03982,                 2.1036,                 1.3402,                0.34067,                0.38384,                0.25587,                0.07987,                0.50575,                0.44662,                0.43092,                0.42991,                 2.5128,                0.06543,                0.00293,                 2.1535,                 1.3851,              0.0015842,              0.0015842,              0.0015842
                     24,                  2.479,                0.06581,                0.05328,                 2.0374,                 1.3201,                0.43192,                0.45865,                0.35936,                0.11955,                0.58637,                0.45865,                0.51607,                0.51488,                 2.3758,                0.05906,                 0.0033,                  1.921,                  1.344,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.4672,                0.06409,                0.06748,                 2.0369,                  1.338,                 0.5734,                0.47903,                0.49507,                0.16529,                0.65593,                0.52632,                0.58868,                0.58745,                  2.334,                 0.0556,                0.00548,                   1.83,                 1.3463,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.4529,                0.06382,                0.03755,                 2.0074,                 1.3147,                0.34613,                0.45852,                 0.2863,                0.09414,                0.57717,                 0.4797,                0.49902,                0.49786,                 2.3453,                0.05572,                0.00395,                 1.9889,                 1.3304,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.4473,                0.06247,                0.04761,                 2.0741,                 1.3112,                0.37045,                0.44775,                0.30962,                 0.0955,                0.59555,                0.51593,                0.52786,                 0.5262,                 2.3494,                 0.0534,                 0.0027,                 2.0359,                 1.3335,               0.001505,               0.001505,               0.001505
                     28,                 2.4253,                0.05817,                0.04454,                 1.9782,                 1.3021,                0.55039,                0.42105,                0.42336,                0.14084,                0.65704,                0.45564,                0.52681,                0.52514,                 2.3449,                0.05761,                0.00518,                 1.9283,                 1.3481,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.4025,                0.05897,                0.04168,                 1.9933,                 1.3169,                0.48532,                0.46917,                0.43588,                 0.1495,                0.60566,                0.50376,                0.54453,                0.54305,                 2.2528,                0.05043,                0.00283,                 1.7941,                 1.3064,              0.0014654,              0.0014654,              0.0014654
